City,,Country,Zip,Qty,Qtr,,,,,,,,,
KEPERRA,,Australia,4054,2,Q1-2016,,,,,,,,,
ROCKHAMPTON,,Australia,4700,1,,,,,,,,,,
SOUTH BRISBANE,,Australia,4101,1,,,,,,,,,,
OSHAWA,,Canada,L1G 2B9,1,Q1-2016,,,,,,,,,
CHANGCHUN CITY,,China,130000,2,Q1-2016,,,,,,,,,
CHANGSHA,,China,410000,1,Q1-2016,,,,,,,,,
CHENGDU,,China,610000,2,Q1-2016,,,,,,,,,
CHONGQING,,China,400037,1,Q1-2016,,,,,,,,,
DEZHOU,,China,253009,1,Q1-2016,,,,,,,,,
GUANGZHOU,,China,510000,1,Q1-2016,,,,,,,,,
HONGKONG,,China,999077,1,Q1-2016,,,,,,,,,
JIAONAN,,China,266400,1,Q1-2016,,,,,,,,,
SHANGRAO,,China,333105,1,Q1-2016,,,,,,,,,
SHAOXING,,China,312000,1,Q1-2016,,,,,,,,,
SUZHOU,,China,215631,1,Q1-2016,,,,,,,,,
ZHENGZHOU,,China,450000,1,Q1-2016,,,,,,,,,
ZUNYI,,China,563000,1,Q1-2016,,,,,,,,,
BEIJING,,China,100000,11,,,,,,,,,,
DINGXI,,China,748100,1,,,,,,,,,,
HANGZHOU,,China,310000,1,,,,,,,,,,
JINING,,China,272400,1,,,,,,,,,,
LANZHOU,,China,730000,1,,,,,,,,,,
LICHUAN,,China,445400,1,,,,,,,,,,
NANCHANG,,China,330000,1,,,,,,,,,,
NANJING,,China,210000,1,,,,,,,,,,
PUTIAN,,China,351254,1,,,,,,,,,,
QINGDAO,,China,266000,1,,,,,,,,,,
SHANGHAI,,China,200030,2,,,,,,,,,,
TENGZHOU,,China,277500,1,,,,,,,,,,
ZIBO,,China,255025,1,,,,,,,,,,
VANTAA,,Finland,00029,1,Q1-2016,,,,,,,,,
CLICHY,,France,92110,1,Q1-2016,,,,,,,,,
CLERMONT FERRAND,,France,63003,1,,,,,,,,,,
BERLIN,,Germany,13353,1,,,,,,,,,,
HRAKLEIO,,Greece,71201,1,,,,,,,,,,
VESZPREM,,Hungary,Veszprem 8200,1,,,,,,,,,,
CHENNAI,,India,Chennai 600100,1,Q1-2016,,,,,,,,,
HYDERABAD,,India,Hyderabad 500035,1,Q1-2016,,,,,,,,,
JABALPUR,,India,Jabalpur 482003,1,Q1-2016,,,,,,,,,
SURAT,,India,Surat 395002,1,Q1-2016,,,,,,,,,
TRIVANDRUM,,India,Trivandrum 695607,1,Q1-2016,,,,,,,,,
ERNAKULAM,,India,Ernakulam 683572,1,,,,,,,,,,
GREATER NOIDA,,India,Greater Noida 201306,1,,,,,,,,,,
HYDERABAD,,India,Hyderabad 500032,2,,,,,,,,,,
INDORE,,India,Indore 452001,1,,,,,,,,,,
MUMBAI,,India,Mumbai 400062,1,,,,,,,,,,
THANJAVUR,,India,Thanjavur 613001,1,,,,,,,,,,
BEKASI,,Indonesia,Bekasi 17144,1,Q1-2016,,,,,,,,,
JAKARTA,,Indonesia,Jakarta 12980,1,Q1-2016,,,,,,,,,
Surabaya,,Indonesia,Surabaya 60252,3,,,,,,,,,,
AMAKUSASHI,AMAKUSA ,Japan,amakusashi 8630013,1,Q1-2016,,,,,,,,,
