GE_City,GE_Count,latitude,longitude
Australia,3,-25.5852413,134.5041199
Canada,1,62.8329086,-95.9133224
China,68,36.5530853,103.9754333
Czech Republic,2,49.7391052,15.331501
Finland,1,64.2885818,25.9894028
France,10,46.6372795,2.3382623
Germany,1,51.2024651,10.3822031
Greece,2,39.6843719,21.8974094
Hungary,1,47.1657333,19.4165745
India,13,23.4060116,79.4580917
Indonesia,5,-1.2480891,115.4189987
Italy,3,42.7669792,12.4938231
Japan,44,36.2816467,139.0772705
Luxembourg,1,49.7778816,6.0947461
Nepal,1,28.2591381,83.9441605
Norway,1,66.7666702,14.8999252
Pakistan,1,29.9232197,69.3577423
Philippines,1,11.1126661,122.5094757
Poland,2,52.14785,19.3777599
Portugal,2,39.6420097,-8.0094223
Russia,2,63.1251869,103.7539825
Saudi Arabia,1,23.9947262,44.4013557
South Africa,1,-29.0461845,25.0628796
South Korea,1,36.0972404,127.5127029
Spain,2,40.3960266,-3.5506926
Thailand,5,14.4845819,100.8519135
Turkey,3,39.0510101,34.9303398
United Kingdom,1,54.5608864,-2.2125118
Vietnam,5,16.9404297,106.8164291
United States,398,39.4432564,-98.9573364
