GE_City,GE_Count,GE_latitude,GE_longitude,GE_n,GE_State,
"Keperra, Australia",1,-27.4171391,152.9497833,KEPERRA, Australia,
"Rockhampton, Australia",1,-23.3742199,150.5036469,ROCKHAMPTON, Australia,
"South Brisbane, Australia",1,-27.4756203,153.0153809,SOUTH BRISBANE, Australia,
"Oshawa, Canada",1,43.9057007,-78.8237991,OSHAWA, Canada,
"Dalian, China",1,38.8995514,121.5577011,DALIAN, China,
"Dingxi, China",1,35.0371017,104.3860016,DINGXI, China,
"Fengcheng, China",1,40.4618607,124.0691833,Fengcheng, China,
"Nanjing, China",1,32.0497818,118.7659836,NANJING, China,
"Putian, China",1,25.4506302,119.0219803,PUTIAN, China,
"Shanghai, China",1,31.2241459,121.5161362,SHANGHAI, China,
"Beijing, China",16,39.9065704,116.3876495,BEIJING, China,
"Changchun City, China",2,43.8841515,125.3036804,CHANGCHUN CITY, China,
"Changsha, China",1,28.1961498,112.9726791,CHANGSHA, China,
"Chengdu, China",1,30.5785007,103.9469986,CHENGDU, China,
"Dazhou, China",1,31.2159004,107.5009995,DAZHOU, China,
"Dezhou, China",2,37.4424706,116.2857285,DEZHOU, China,
"Guangzhou, China",2,23.1133709,113.2552338,GUANGZHOU, China,
"Hangzhou, China",1,30.2526245,120.1650772,HANGZHOU, China,
"Harbin, China",1,45.7555313,126.6395111,HARBIN, China,
"Hefei, China",2,31.8700294,117.2745667,HEFEI, China,
"Hongkong, China",1,22.3361568,114.1869659,HONGKONG, China,
"Jiaonan, China",1,35.87714,119.979332,JIAONAN, China,
"Jining, China",1,35.4040108,116.5893707,JINING, China,
"Lanzhou, China",1,36.0699615,103.7502136,LANZHOU, China,
"Lasa, China",1,30.3115997,91.3110962,LASA, China,
"Liaoning, China",1,41.176384,122.5526962,LIAONING, China,
"Lichuan, China",1,30.3020935,108.9303207,LICHUAN, China,
"Nanchang, China",1,28.68507,115.8953094,NANCHANG, China,
"Nanjing, China",1,32.0497818,118.7659836,NANJING, China,
"Qingdao, China",3,36.1104889,120.35569,QINGDAO, China,
"Qingfeng, China",1,35.8996773,115.0994034,QINGFENG, China,
"Shanghai, China",2,31.2241459,121.5161362,SHANGHAI, China,
"Shangrao, China",1,28.4514275,117.9561539,SHANGRAO, China,
"Shaoxing, China",1,29.9945698,120.5763321,SHAOXING, China,
"Shenzhen, China",1,22.5562191,114.1187897,SHENZHEN, China,
"Suzhou, China",1,31.3092518,120.6131973,SUZHOU, China,
"Tengzhou, China",1,35.0753784,117.1615524,TENGZHOU, China,
"Tianjin, China",2,39.1449394,117.2005692,Tianjin, China,
"Wuhan, China",1,30.5534954,114.2532578,WUHAN, China,
"Yingkou, China",1,40.6749992,122.2591934,YINGKOU, China,
"Zaozhuang, China",1,34.8715096,117.5514679,ZAOZHUANG, China,
"Zhengzhou, China",2,34.7640305,113.6594086,ZHENGZHOU, China,
"Zibo, China",2,36.8028908,118.0453491,ZIBO, China,
"Zunyi, China",1,27.6983795,106.9104767,ZUNYI, China,
"Chongqing, China",1,29.5509491,106.5193481,CHONGQING, China,
"Shijiazhuang, China",1,38.0436783,114.4923477,SHIJIAZHUANG, China,
"Shuyang, China",1,34.1352806,118.7720718,SHUYANG, China,68
"Prague, Czech Republic",2,50.1269188,14.4567204,Prague, Czech Republic,
"Vantaa, Finland",1,60.2893715,25.0295601,VANTAA, Finland,
"Abbeville, France",1,50.1088982,1.86694,ABBEVILLE, France,10
"Bobigny, France",1,48.9057007,2.4674599,BOBIGNY, France,
